date,visitor,visit_pts,home,home_pts,night_out,result,pt_spread,,,,,,,,
11/10/17,Charlotte,87,Boston,90,0,1,3,,,,,,,,
11/10/17,Indiana,105,Chicago,87,0,0,-18,,,,,,,,
11/10/17,Atlanta,104,Detroit,111,0,1,7,,,,,,,,
11/10/17,LA Clippers,111,Okla City,120,0,1,9,,,,,,,,
11/10/17,Orlando,128,Phoenix,112,0,0,-16,,,,,,,,
11/10/17,Brooklyn,101,Portland,97,0,0,-4,,,,,,,,
11/10/17,Milwaukee,94,San Antonio,87,0,0,-7,,,,,,,,
11/10/17,Miami,84,Utah,74,0,0,-10,,,,,,,,
11/11/17,Cleveland,111,Dallas,104,0,0,-7,,,,,,,,
11/11/17,Orlando,107,Denver,125,0,1,18,,,,,,,,
11/11/17,Philadelphia,114,Golden State,135,0,1,21,,,,,,,,
11/11/17,Memphis,96,Houston,111,0,1,15,,,,,,,,
11/11/17,LA Lakers,90,Milwaukee,98,0,1,8,,,,,,,,
11/11/17,LA Clippers,103,New Orleans,111,0,1,8,,,,,,,,
11/11/17,Sacramento,91,New York,118,1,1,27,,,,,,,,
11/11/17,Minnesota,110,Phoenix,118,0,1,8,,,,,,,,
11/11/17,Chicago,94,San Antonio,133,0,1,39,,,,,,,,
11/11/17,Brooklyn,106,Utah,114,0,1,8,,,,,,,,
11/11/17,Atlanta,94,Washington,113,0,1,19,,,,,,,,
11/12/17,Toronto,94,Boston,95,0,1,1,,,,,,,,
11/12/17,Miami,103,Detroit,112,0,1,9,,,,,,,,
11/12/17,Houston,118,Indiana,95,0,0,-23,,,,,,,,
11/12/17,Dallas,99,Okla City,112,0,1,13,,,,,,,,
11/13/17,Orlando,100,Golden State,110,0,1,10,,,,,,,,
11/13/17,Philadelphia,109,LA Clippers,105,1,0,-4,,,,,,,,
11/13/17,Memphis,103,Milwaukee,110,0,1,7,,,,,,,,
11/13/17,Atlanta,105,New Orleans,106,0,1,1,,,,,,,,
11/13/17,Cleveland,104,New York,101,1,0,-3,,,,,,,,
11/13/17,LA Lakers,100,Phoenix,93,0,0,-7,,,,,,,,
11/13/17,Denver,82,Portland,99,0,1,17,,,,,,,,
11/13/17,Minnesota,109,Utah,98,0,0,-11,,,,,,,,
11/13/17,Sacramento,92,Washington,110,0,1,18,,,,,,,,
